name,population
"Lee County, Florida",760822
"Monroe County, New York",759443
"El Paso County, Colorado",730395
"Norfolk County, Massachusetts",725981
"Polk County, Florida",725046
"Hudson County, New Jersey",724854
"Jackson County, Missouri",717204
"Davidson County, Tennessee",715884
"Denver County, Colorado",715522
"Lake County, Illinois",714342
"Will County, Illinois",696355
"District of Columbia, District of Columbia",689545
"Bernalillo County, New Mexico",676444
"Jefferson County, Alabama",674721
"Tulsa County, Oklahoma",669279
"Providence County, Rhode Island",660741
"Utah County, Utah",659399
"Kent County, Michigan",657974
"Arapahoe County, Colorado",655070
"Bucks County, Pennsylvania",646538
"Monmouth County, New Jersey",643615
"Ocean County, New Jersey",637229
"Montgomery County, Texas",620443
"Johnson County, Kansas",609863
"Williamson County, Texas",609017
"Brevard County, Florida",606612
"Washington County, Oregon",600372
"Anne Arundel County, Maryland",588261
"Baltimore city, Maryland",585708
"Douglas County, Nebraska",584526
"Jefferson County, Colorado",582910
"Bristol County, Massachusetts",579200
"Delaware County, Pennsylvania",576830
"Union County, New Jersey",575345
"New Castle County, Delaware",570719
"Pasco County, Florida",561891
"Dane County, Wisconsin",561504
"Volusia County, Florida",553543
"Lancaster County, Pennsylvania",552984
"Stanislaus County, California",552878
"Ramsey County, Minnesota",552352
"Guilford County, North Carolina",541299
"Summit County, Ohio",540428
"Spokane County, Washington",539339
"Montgomery County, Ohio",537309
"Chester County, Pennsylvania",534413
"Plymouth County, Massachusetts",530819
"Greenville County, South Carolina",525534
"Passaic County, New Jersey",524118
"Sedgwick County, Kansas",523824
"Camden County, New Jersey",523485
"Adams County, Colorado",519572
"Kane County, Illinois",516522
"Morris County, New Jersey",509285
"Clark County, Washington",503311
"Lake County, Indiana",498700
"Richmond County, New York",495747
"Ada County, Idaho",494967
"Polk County, Iowa",492401
"Sonoma County, California",488863
"Washoe County, Nevada",486492
"Prince William County, Virginia",482204
"Knox County, Tennessee",478971
"Onondaga County, New York",476516
"Tulare County, California",473117
"Seminole County, Florida",470856
"Hampden County, Massachusetts",465825
"Burlington County, New Jersey",461860
"Virginia Beach city, Virginia",459470
"East Baton Rouge Parish, Louisiana",456781
"York County, Pennsylvania",456438
"Solano County, California",453491
"Santa Barbara County, California",448229
"Jefferson Parish, Louisiana",440781
"Dakota County, Minnesota",439882
"Monterey County, California",439035
"Sarasota County, Florida",434006
"Lucas County, Ohio",431279
"Berks County, Pennsylvania",428849
"Pinal County, Arizona",425264
"Hillsborough County, New Hampshire",422937
"Clackamas County, Oregon",421401
"Cameron County, Texas",421017
"Loudoun County, Virginia",420959
"Richland County, South Carolina",416147
"Mobile County, Alabama",414809
"Charleston County, South Carolina",408235
"Waukesha County, Wisconsin",406978
"Genesee County, Michigan",406211
"St. Charles County, Missouri",405262
"Placer County, California",404739
"Orange County, New York",401310
"Manatee County, Florida",399710
"Pulaski County, Arkansas",399125
"Butler County, Ohio",390357
"Osceola County, Florida",388656
"Madison County, Alabama",388153
"Mercer County, New Jersey",387340
"Allen County, Indiana",385410
"Orleans Parish, Louisiana",383997
"Lake County, Florida",383956
"Lane County, Oregon",382971
"Forsyth County, North Carolina",382590
"Marion County, Florida",375908
"Collier County, Florida",375752
"Stark County, Ohio",374853
"Lehigh County, Pennsylvania",374557
"Washtenaw County, Michigan",372258
"Brazoria County, Texas",372031
"Bell County, Texas",370647
"Hamilton County, Tennessee",366207
"Chesterfield County, Virginia",364548
"Anoka County, Minnesota",363887
"Davis County, Utah",362679
"Larimer County, Colorado",359066
"Douglas County, Colorado",357978
"Westmoreland County, Pennsylvania",354663
"Nueces County, Texas",353178
"Horry County, South Carolina",351029
"Galveston County, Texas",350682
"Hamilton County, Indiana",347467
"Marion County, Oregon",345920
"Somerset County, New Jersey",345361
"San Juan Municipio, Puerto Rico",342259
"Rutherford County, Tennessee",341486
"Rockland County, New York",338329
"Cumberland County, North Carolina",334728
"Henrico County, Virginia",334389
"Howard County, Maryland",332317
"Boulder County, Colorado",330758
"St. Lucie County, Florida",329226
"Weld County, Colorado",328981
"Spartanburg County, South Carolina",327997
"Luzerne County, Pennsylvania",325594
"Durham County, North Carolina",324833
"Lancaster County, Nebraska",322608
"Fayette County, Kentucky",322570
"Escambia County, Florida",321905
"Albany County, New York",314848
"Rockingham County, New Hampshire",314176
"Lorain County, Ohio",312964
"Northampton County, Pennsylvania",312951
"Lubbock County, Texas",310639
"McHenry County, Illinois",310229
"Cumberland County, Maine",303069
"Gloucester County, New Jersey",302294
"St. Louis city, Missouri",301578
"Greene County, Missouri",298915
"Clayton County, Georgia",297595
"Ottawa County, Michigan",296200
"Dutchess County, New York",295911
"Cleveland County, Oklahoma",295528
"Chatham County, Georgia",295291
"Thurston County, Washington",294793
"Lexington County, South Carolina",293991
"Leon County, Florida",292198
"Anchorage Municipality, Alaska",291247
"Dauphin County, Pennsylvania",286401
"Winnebago County, Illinois",285350
"Ingham County, Michigan",284900
"Benton County, Arkansas",284333
"San Luis Obispo County, California",282424
"York County, South Carolina",282090
"Merced County, California",281202
"Alachua County, Florida",278468
"Kitsap County, Washington",275611
"Atlantic County, New Jersey",274534
"St. Johns County, Florida",273425
"St. Joseph County, Indiana",272912
"Frederick County, Maryland",271717
"Erie County, Pennsylvania",270876
"Santa Cruz County, California",270861
"Buncombe County, North Carolina",269452
"Brown County, Wisconsin",268740
"New London County, Connecticut",268555
"Washington County, Minnesota",267568
"Webb County, Texas",267114
"Cherokee County, Georgia",266620
"Madison County, Illinois",265859
"St. Tammany Parish, Louisiana",264570
"Marin County, California",262321
"Weber County, Utah",262223
"Kalamazoo County, Michigan",261670
"Harford County, Maryland",260924
"McLennan County, Texas",260579
"Cumberland County, Pennsylvania",259469
"St. Clair County, Illinois",257400
"Yakima County, Washington",256728
"Jefferson County, Texas",256526
"Clay County, Missouri",253335
"Forsyth County, Georgia",251283
"Chesapeake city, Virginia",249422
"Williamson County, Tennessee",247726
"Washington County, Arkansas",245871
"Warren County, Ohio",242337
"Lafayette Parish, Louisiana",241753
"Hays County, Texas",241067
"Henry County, Georgia",240712
"Arlington County, Virginia",238643
"Union County, North Carolina",238267
"Norfolk city, Virginia",238005
"Caddo Parish, Louisiana",237848
"Sussex County, Delaware",237378
"Yavapai County, Arizona",236209
"Saratoga County, New York",235509
"Brazos County, Texas",233849
"Smith County, Texas",233479
"Lake County, Ohio",232603
"Oneida County, New York",232125
"Baldwin County, Alabama",231767
"Canyon County, Idaho",231105
"Linn County, Iowa",230299
"Berkeley County, South Carolina",229861
"Barnstable County, Massachusetts",228996
"Montgomery County, Alabama",228954
"Mahoning County, Ohio",228614
"Gaston County, North Carolina",227943
"Hinds County, Mississippi",227742
"Tuscaloosa County, Alabama",227036
"Whatcom County, Washington",226847
"Jefferson County, Missouri",226739
"Richmond city, Virginia",226610
"Cabarrus County, North Carolina",225804
"New Hanover County, North Carolina",225702
"Jackson County, Oregon",223259
"Shelby County, Alabama",223024
"Montgomery County, Tennessee",220069
"Doña Ana County, New Mexico",219561
"Clay County, Florida",218245
"Calcasieu Parish, Louisiana",216785
"Yolo County, California",216403
"Johnston County, North Carolina",215999
"Lackawanna County, Pennsylvania",215896
"Delaware County, Ohio",214124
"Mohave County, Arizona",213267
"Niagara County, New York",212666
"York County, Maine",211972
"Okaloosa County, Florida",211668
"Butte County, California",211632
"Washington County, Pennsylvania",209349
"Harrison County, Mississippi",208621
"Clermont County, Ohio",208601
"Elkhart County, Indiana",207047
"Muscogee County, Georgia",206922
"Benton County, Washington",206873
"Richmond County, Georgia",206607
"Champaign County, Illinois",205865
"Onslow County, North Carolina",204576
"Yuma County, Arizona",203881
"Anderson County, South Carolina",203718
"Hall County, Georgia",203136
"Trumbull County, Ohio",201977
"Hawaii County, Hawaii",200629
"St. Louis County, Minnesota",200231
"Broome County, New York",198683
"Deschutes County, Oregon",198253
"Racine County, Wisconsin",197727
"Minnehaha County, South Dakota",197214
"Sangamon County, Illinois",196343
"Sumner County, Tennessee",196281
"Hernando County, Florida",194515
"Livingston County, Michigan",193866
"Butler County, Pennsylvania",193763
"Ellis County, Texas",192455
"El Dorado County, California",191185
"Outagamie County, Wisconsin",190705
"Sarpy County, Nebraska",190604
"Saginaw County, Michigan",190124
"Santa Rosa County, Florida",188000
"Beaufort County, South Carolina",187117
"Charlotte County, Florida",186847
"Iredell County, North Carolina",186693
"Tippecanoe County, Indiana",186251
"Newport News city, Virginia",186247
"DeSoto County, Mississippi",185314
"Bayamón Municipio, Puerto Rico",185187
"Litchfield County, Connecticut",185186
"Cass County, North Dakota",184525
"Boone County, Missouri",183610
"Medina County, Ohio",182470
"Shasta County, California",182155
"Ulster County, New York",181851
"Kent County, Delaware",181851
"Peoria County, Illinois",181830
"Kanawha County, West Virginia",180745
"Washington County, Utah",180279
"Vanderburgh County, Indiana",180136
"Johnson County, Texas",179927
"Imperial County, California",179702
"Shawnee County, Kansas",178909
"Licking County, Ohio",178519
"Muskegon County, Michigan",175824
"Bay County, Florida",175216
"Hendricks County, Indiana",174788
"Scott County, Iowa",174669
"Lee County, Alabama",174241
"Porter County, Indiana",173215
"Carroll County, Maryland",172891
"Guadalupe County, Texas",172706
"Winnebago County, Wisconsin",171730
"Alamance County, North Carolina",171415
"Kootenai County, Idaho",171362
"McLean County, Illinois",170954
"Kent County, Rhode Island",170363
"Pitt County, North Carolina",170243
"Midland County, Texas",169983
"Wyandotte County, Kansas",169245
"Kenosha County, Wisconsin",169151
"Kenton County, Kentucky",169064
"Davidson County, North Carolina",168930
"Aiken County, South Carolina",168808
"Paulding County, Georgia",168661
"Monroe County, Pennsylvania",168327
"Chittenden County, Vermont",168323
"Beaver County, Pennsylvania",168215
"Pueblo County, Colorado",168162
"Greene County, Ohio",167966
"Charles County, Maryland",166617
"Ector County, Texas",165171
"Maui County, Hawaii",164754
"Yellowstone County, Montana",164731
"Middlesex County, Connecticut",164245
"Rock County, Wisconsin",163687
"Houston County, Georgia",163633
"Olmsted County, Minnesota",162847
"Hampshire County, Massachusetts",162308
"Portage County, Ohio",161791
"Johnson County, Indiana",161765
"Dorchester County, South Carolina",161540
"Comal County, Texas",161501
"Rensselaer County, New York",161130
"Catawba County, North Carolina",160610
"St. Clair County, Michigan",160383
"Ouachita Parish, Louisiana",160368
"Jackson County, Michigan",160366
"Indian River County, Florida",159788
"Alexandria city, Virginia",159467
"Fairfield County, Ohio",158921
"Martin County, Florida",158431
"Stearns County, Minnesota",158292
"Centre County, Pennsylvania",158172
"Sullivan County, Tennessee",158163
"Schenectady County, New York",158061
"Bibb County, Georgia",157346
"Rankin County, Mississippi",157031
"Stafford County, Virginia",156927
"Madera County, California",156255
"Columbia County, Georgia",156010
"Franklin County, Pennsylvania",155932
"Mesa County, Colorado",155703
"Santa Fe County, New Mexico",154823
"Carolina Municipio, Puerto Rico",154815
"Monroe County, Michigan",154809
"Washington County, Maryland",154705
"Canadian County, Oklahoma",154405
"Berrien County, Michigan",154316
"Cumberland County, New Jersey",154152
"Citrus County, Florida",153843
"Merrimack County, New Hampshire",153808
"Johnson County, Iowa",152854
"Kings County, California",152486
"Penobscot County, Maine",152199
"Scott County, Minnesota",150928
"Tolland County, Connecticut",149788
"Sandoval County, New Mexico",148834
"Orange County, North Carolina",148696
"Parker County, Texas",148222
"Wilson County, Tennessee",147737
"Rowan County, North Carolina",146875
"Coweta County, Georgia",146158
"Kaufman County, Texas",145310
"Coconino County, Arizona",145101
"Rock Island County, Illinois",144672
"Douglas County, Georgia",144237
"Sussex County, New Jersey",144221
"Randolph County, North Carolina",144171
"Lebanon County, Pennsylvania",143257
"Jackson County, Mississippi",143252
"Taylor County, Texas",143208
"Schuylkill County, Pennsylvania",143049
"Livingston Parish, Louisiana",142282
"Wright County, Minnesota",141337
"Randall County, Texas",140753
"Spotsylvania County, Virginia",140032
"Monroe County, Indiana",139718
"Napa County, California",138019
"Marathon County, Wisconsin",138013
"Ponce Municipio, Puerto Rico",137491
"Hampton city, Virginia",137148
"Florence County, South Carolina",137059
"Washington County, Wisconsin",136761
"Brunswick County, North Carolina",136693
"Humboldt County, California",136463
"Clark County, Ohio",136001
"Boone County, Kentucky",135968
"Grayson County, Texas",135543
"Blount County, Tennessee",135280
"Warren County, Kentucky",134554
"Calhoun County, Michigan",134310
"Harnett County, North Carolina",133568
"Cambria County, Pennsylvania",133472
"Tangipahoa Parish, Louisiana",133157
"Cache County, Utah",133154
"Washington County, Tennessee",133001
"Wood County, Ohio",132248
"Kendall County, Illinois",131869
"Pickens County, South Carolina",131404
"Tazewell County, Illinois",131343
"Black Hawk County, Iowa",131144
"Strafford County, New Hampshire",130889
"Madison County, Indiana",130129
"Rapides Parish, Louisiana",130023
"Washington County, Rhode Island",129839
"Sumter County, Florida",129752
"Skagit County, Washington",129523
"Wichita County, Texas",129350
"Berkshire County, Massachusetts",129026
"Hunterdon County, New Jersey",128947
"Fayette County, Pennsylvania",128804
"Bossier Parish, Louisiana",128746
"Clarke County, Georgia",128671
"Linn County, Oregon",128610
"Sebastian County, Arkansas",127799
"Chautauqua County, New York",127657
"Caguas Municipio, Puerto Rico",127244
"Ascension Parish, Louisiana",126500
"Cochise County, Arizona",125447
"Richland County, Ohio",124936
"Gregg County, Texas",124239
"Bonneville County, Idaho",123964
"Kennebec County, Maine",123642
"Faulkner County, Arkansas",123498
"Morgan County, Alabama",123421
"Saline County, Arkansas",123416
"Blair County, Pennsylvania",122822
"Jasper County, Missouri",122761
"Berkeley County, West Virginia",122076
"San Juan County, New Mexico",121661
"Comanche County, Oklahoma",121125
"Clark County, Indiana",121093
"La Crosse County, Wisconsin",120784
"Allegan County, Michigan",120502
"Tom Green County, Texas",120003
"Fayette County, Georgia",119194
"Carroll County, Georgia",119148
"Gallatin County, Montana",118960
"Douglas County, Kansas",118785
"Potter County, Texas",118525
"Lowndes County, Georgia",118251
"Sheboygan County, Wisconsin",118034
"Missoula County, Montana",117922
"Oswego County, New York",117525
"Wayne County, North Carolina",117333
"Wayne County, Ohio",116894
"Jefferson County, New York",116721
"Robeson County, North Carolina",116530
"Calhoun County, Alabama",116441
"Windham County, Connecticut",116418
"Henderson County, North Carolina",116281
"Flagler County, Florida",115378
"Lycoming County, Pennsylvania",114188
"St. Mary's County, Maryland",113777
"Newton County, Georgia",112483
"Ontario County, New York",112458
"LaPorte County, Indiana",112417
"Albemarle County, Virginia",112395
"Delaware County, Indiana",111903
"Craighead County, Arkansas",111231
"Douglas County, Oregon",111201
"Androscoggin County, Maine",111139
"Cowlitz County, Washington",110730
"Hardin County, Kentucky",110702
"Mercer County, Pennsylvania",110652
"Hanover County, Virginia",109979
"LaSalle County, Illinois",109658
"Warren County, New Jersey",109632
"Terrebonne Parish, Louisiana",109580
"Pennington County, South Dakota",109222
"Eaton County, Michigan",109175
"Madison County, Mississippi",109145
"Bartow County, Georgia",108901
"Miami County, Ohio",108774
"Bradley County, Tennessee",108620
"St. Lawrence County, New York",108505
"Cass County, Missouri",107824
"Rockwall County, Texas",107819
"Yamhill County, Oregon",107722
"Kankakee County, Illinois",107502
"Houston County, Alabama",107202
"Matanuska-Susitna Borough, Alaska",107081
"Carver County, Minnesota",106922
"Platte County, Missouri",106718
"Navajo County, Arizona",106717
"Walworth County, Wisconsin",106478
"Vigo County, Indiana",106153
"Woodbury County, Iowa",105941
"Monongalia County, West Virginia",105822
"Tompkins County, New York",105740
"Eau Claire County, Wisconsin",105710
"Sumter County, South Carolina",105556
"Franklin County, Missouri",104682
"Flathead County, Montana",104357
"Fond du Lac County, Wisconsin",104154
"Macon County, Illinois",103998
"Bay County, Michigan",103856
"Adams County, Pennsylvania",103852
"Cecil County, Maryland",103725
"Wicomico County, Maryland",103588
"Limestone County, Alabama",103570
"Etowah County, Alabama",103436
"Daviess County, Kentucky",103312
"Whitfield County, Georgia",102864
"Nevada County, California",102241
"Allen County, Ohio",102206
"Columbiana County, Ohio",101877
"Highlands County, Florida",101235
"Maury County, Tennessee",100974
"Craven County, North Carolina",100720
"Laramie County, Wyoming",100512
"DeKalb County, Illinois",100420
"Garland County, Arkansas",100180
"Roanoke city, Virginia",100011
"Hunt County, Texas",99956
"Moore County, North Carolina",99727
"Montgomery County, Virginia",99721
"Dallas County, Iowa",99678
"Sutter County, California",99633
"Cleveland County, North Carolina",99519
"Lenawee County, Michigan",99423
"Dubuque County, Iowa",99266
"Grant County, Washington",99123
"Madison County, Tennessee",98823
"Floyd County, Georgia",98584
"Story County, Iowa",98537
"Burleigh County, North Dakota",98458
"Sevier County, Tennessee",98380
"Portsmouth city, Virginia",97915
"Putnam County, New York",97668
"Marshall County, Alabama",97612
"Ashtabula County, Ohio",97574
"Lafourche Parish, Louisiana",97557
"Bastrop County, Texas",97216
"Sherburne County, Minnesota",97183
"Roanoke County, Virginia",96929
"Franklin County, Washington",96749
"Walton County, Georgia",96673
"Lancaster County, South Carolina",96016
"Fairbanks North Star Borough, Alaska",95655
"Geauga County, Ohio",95397
"Cape May County, New Jersey",95263
"Rogers County, Oklahoma",95240
"Grand Traverse County, Michigan",95238
"Benton County, Oregon",95184
"Nash County, North Carolina",94970
"Cabell County, West Virginia",94350
"Suffolk city, Virginia",94324
"Pottawattamie County, Iowa",93667
"Steuben County, New York",93584
"Rockdale County, Georgia",93570
"Lauderdale County, Alabama",93564
"St. Croix County, Wisconsin",93536
"Tuscarawas County, Ohio",93263
"Campbell County, Kentucky",93076
"Bowie County, Texas",92893
"Calvert County, Maryland",92783
"Madison County, Kentucky",92701
"Northumberland County, Pennsylvania",91647
"Liberty County, Texas",91628
"Mendocino County, California",91601
"Ozaukee County, Wisconsin",91503
"Frederick County, Virginia",91419
"Victoria County, Texas",91319
"Wayne County, New York",91283
"Grafton County, New Hampshire",91118
"St. Clair County, Alabama",91103
"Rockingham County, North Carolina",91096
"Nassau County, Florida",90352
"Twin Falls County, Idaho",90046
"Guaynabo Municipio, Puerto Rico",89780
"Dodge County, Wisconsin",89396
"Christian County, Missouri",88842
"Lapeer County, Michigan",88619
"Josephine County, Oregon",88090
"Elmore County, Alabama",87977
"Cullman County, Alabama",87866
"Arecibo Municipio, Puerto Rico",87754
"Burke County, North Carolina",87570
"Polk County, Oregon",87433
"Bannock County, Idaho",87018
"Island County, Washington",86857
"Lincoln County, North Carolina",86810
"Muskingum County, Ohio",86410
"Angelina County, Texas",86395
"Lawrence County, Pennsylvania",86070
"Dougherty County, Georgia",85790
"Newport County, Rhode Island",85643
"Jefferson County, Wisconsin",84900
"Orange County, Texas",84808
"Buchanan County, Missouri",84793
"Glynn County, Georgia",84499
"Cascade County, Montana",84414
"Wood County, West Virginia",84296
"Orangeburg County, South Carolina",84223
"Chemung County, New York",84148
"Crawford County, Pennsylvania",83938
"Rockingham County, Virginia",83757
"Howard County, Indiana",83658
"Barrow County, Georgia",83505
"Midland County, Michigan",83494
"Lee County, Mississippi",83343
"Indiana County, Pennsylvania",83246
"Coryell County, Texas",83093
"Monroe County, Florida",82874
"St. Landry Parish, Louisiana",82540
"Bullitt County, Kentucky",82217
"Bartholomew County, Indiana",82208
"Henderson County, Texas",82150
"Lewis County, Washington",82149
"Talladega County, Alabama",82149
"Leavenworth County, Kansas",81881
"Cape Girardeau County, Missouri",81710
"Payne County, Oklahoma",81646
"Yuba County, California",81575
"Manitowoc County, Wisconsin",81359
"Bulloch County, Georgia",81099
"Wagoner County, Oklahoma",80981
"Caldwell County, North Carolina",80652
"Clearfield County, Pennsylvania",80562
"Floyd County, Indiana",80484
"Kosciusko County, Indiana",80240
"Umatilla County, Oregon",80075
"Natrona County, Wyoming",79955
"Putnam County, Tennessee",79854
"Clinton County, New York",79843
"Hancock County, Indiana",79840
"Bedford County, Virginia",79462
"Clinton County, Michigan",79128
"Chelan County, Washington",79074
"Lynchburg city, Virginia",79009
"Wilson County, North Carolina",78784
"Sullivan County, New York",78624
"Oconee County, South Carolina",78607
"James City County, Virginia",78254
"Forrest County, Mississippi",78158
"Augusta County, Virginia",77487
"Cole County, Missouri",77279
"Clallam County, Washington",77155
"Anderson County, Tennessee",77123
"Ross County, Ohio",77093
"Cattaraugus County, New York",77042
"White County, Arkansas",76822
"Cheshire County, New Hampshire",76458
"Walker County, Texas",76400
"Chatham County, North Carolina",76285
"Cayuga County, New York",76248
"Valencia County, New Mexico",76205
"Jackson County, Georgia",75907
"Grays Harbor County, Washington",75636
"Erie County, Ohio",75622
"Van Buren County, Michigan",75587
"Walton County, Florida",75305
"Toa Baja Municipio, Puerto Rico",75293
"Hancock County, Ohio",74920
"Raleigh County, West Virginia",74591
"Lea County, New Mexico",74455
"Wood County, Wisconsin",74207
"Vermilion County, Illinois",74188
"Somerset County, Pennsylvania",74129
"Broomfield County, Colorado",74112
"Lonoke County, Arkansas",74015
"Scioto County, Ohio",74008
"Putnam County, Florida",73321
"Kauai County, Hawaii",73298
"Grand Forks County, North Dakota",73170
"Mayagüez Municipio, Puerto Rico",73077
"Lauderdale County, Mississippi",72984
"Fauquier County, Virginia",72972
"McKinley County, New Mexico",72902
"Robertson County, Tennessee",72803
"Christian County, Kentucky",72748
"Tooele County, Utah",72698
"Pottawatomie County, Oklahoma",72454
"Riley County, Kansas",71959
"Morgan County, Indiana",71780
"Creek County, Oklahoma",71754
"DeKalb County, Alabama",71608
"Surry County, North Carolina",71359
"Franklin County, Massachusetts",71029
"Lewis and Clark County, Montana",70973
"Boone County, Indiana",70812
"Portage County, Wisconsin",70377
"Greene County, Tennessee",70152
"York County, Virginia",70045
"Iberia Parish, Louisiana",69929
"Ward County, North Dakota",69919
"Columbia County, Florida",69698
"Troup County, Georgia",69426
"Klamath County, Oregon",69413
"Greenwood County, South Carolina",69351
"Blue Earth County, Minnesota",69112
"Harrison County, Texas",68839
"San Patricio County, Texas",68755
"Wise County, Texas",68632
"Franklin County, North Carolina",68573
"Lake County, California",68163
"Allegany County, Maryland",68106
"Shiawassee County, Michigan",68094
"Madison County, New York",68016
"McCracken County, Kentucky",67875
"Catoosa County, Georgia",67872
"Otero County, New Mexico",67839
"Trujillo Alto Municipio, Puerto Rico",67740
"Carteret County, North Carolina",67686
"Walker County, Georgia",67654
"Oldham County, Kentucky",67607
"Laurens County, South Carolina",67539
"Butler County, Kansas",67380
"Spalding County, Georgia",67306
"Jefferson County, Arkansas",67260
"Jones County, Mississippi",67246
"Williamson County, Illinois",67153
"Aroostook County, Maine",67105
"Rice County, Minnesota",67097
"St. Francois County, Missouri",66922
"Toa Alta Municipio, Puerto Rico",66852
"Ionia County, Michigan",66804
"Grant County, Indiana",66674
"Montcalm County, Michigan",66614
"Wayne County, Indiana",66553
"Belmont County, Ohio",66497
"Muskogee County, Oklahoma",66339
"Chippewa County, Wisconsin",66297
"Crow Wing County, Minnesota",66123
"Apache County, Arizona",66021
"Marquette County, Michigan",66017
"Wilkes County, North Carolina",65969
"Harrison County, West Virginia",65921
"Starr County, Texas",65920
"Tehama County, California",65829
"Sauk County, Wisconsin",65763
"Warren County, New York",65737
"Adams County, Illinois",65737
"Mason County, Washington",65726
"Armstrong County, Pennsylvania",65558
"Kershaw County, South Carolina",65403
"Marion County, Ohio",65359
"Walker County, Alabama",65342
"Clay County, Minnesota",65318
"Liberty County, Georgia",65256
"Jefferson County, Ohio",65249
"Lincoln County, South Dakota",65161
"Chaves County, New Mexico",65157
"Pulaski County, Kentucky",65034
"Coos County, Oregon",64929
"Salem County, New Jersey",64837
"Effingham County, Georgia",64769
"Carbon County, Pennsylvania",64749
"Columbia County, Pennsylvania",64727
"Nacogdoches County, Texas",64653
"Hamblen County, Tennessee",64499
"Rutherford County, North Carolina",64444
"Isabella County, Michigan",64394
"Lamar County, Mississippi",64222
"San Benito County, California",64209
"Warrick County, Indiana",63898
"Belknap County, New Hampshire",63705
"Georgetown County, South Carolina",63404
"Pope County, Arkansas",63381
"Lee County, North Carolina",63285
"Darlington County, South Carolina",62905
"Hall County, Nebraska",62895
"Garfield County, Oklahoma",62846
"Union County, Ohio",62784
"Knox County, Ohio",62721
"Laurel County, Kentucky",62613
"Walla Walla County, Washington",62584
"Stanly County, North Carolina",62504
"Athens County, Ohio",62431
"Barry County, Michigan",62423
"Eddy County, New Mexico",62314
"Haywood County, North Carolina",62089
"Reno County, Kansas",61898
"Livingston County, New York",61834
"Garfield County, Colorado",61685
"Hood County, Texas",61598
"Columbia County, New York",61570
"Washington County, New York",61302
"Cumberland County, Tennessee",61145
"Granville County, North Carolina",60992
"Tipton County, Tennessee",60970
"St. Joseph County, Michigan",60939
"Rutland County, Vermont",60572
"Pittsylvania County, Virginia",60501
"Pender County, North Carolina",60203
"Herkimer County, New York",60139
"Crawford County, Arkansas",60133
"Otter Tail County, Minnesota",60081
"Bradford County, Pennsylvania",59967
"Washington County, Vermont",59807
"Washington County, Ohio",59771
"Mercer County, West Virginia",59664
"Lincoln County, Missouri",59574
"Van Zandt County, Texas",59541
"Lyon County, Nevada",59235
"Russell County, Alabama",59183
"Blount County, Alabama",59134
"Sampson County, North Carolina",59036
"Sandusky County, Ohio",58896
"Lowndes County, Mississippi",58879
"Autauga County, Alabama",58805
"Kenai Peninsula Borough, Alaska",58799
